feature,coefficient,importance,importance_pct
OTHER_1__amtdepositincoming_4809444A__MEAN,-0.00060722686,0.00060722686,0.00034229219790266567
CREDIT_BUREAU_B_1__credquantity_1099L__MEAN,-0.0005578775,0.0005578775,0.0003144740923276094
CREDIT_BUREAU_B_1__dpd_550P__MEAN,0.0004901341,0.0004901341,0.0002762873143589941
OTHER_1__amtdepositbalance_4809441A__MAX,-0.0004889425,0.0004889425,0.00027561561254557166
OTHER_1__amtdepositbalance_4809441A__MEAN,-0.0004889425,0.0004889425,0.00027561561254557166
OTHER_1__amtdepositoutgoing_4809442A__MAX,0.00048863736,0.00048863736,0.0002754436059230912
DEBITCARD_1__last30dayturnover_651A__MAX,0.0004882964,0.0004882964,0.0002752514076599958
DEBITCARD_1__last30dayturnover_651A__MEAN,0.0004882868,0.0004882868,0.00027524599616502365
APPLPREV_1__actualdpd_943P__MEAN,-0.000488282,0.000488282,0.0002752432904175375
PERSON_2__addres_role_871L__NUNIQUE,-0.00048726302,0.00048726302,0.00027466889404808366
CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,0.00027382356,0.00027382356,0.00015435362689643283
STATIC_CB_0__for3years_128L,-0.00024423545,0.00024423545,0.00013767488642753157
missingindicator_STATIC_0__currdebt_22A,-0.00024414062,0.00024414062,0.00013762143100375945
missingindicator_STATIC_0__currdebtcredtyperange_828A,-0.00024414062,0.00024414062,0.00013762143100375945
missingindicator_STATIC_0__annuitynextmonth_57A,-0.00024414062,0.00024414062,0.00013762143100375945
CREDIT_BUREAU_B_1__dpdmax_851P__MAX,-0.00024355734,0.00024355734,0.00013729263758840778
PERSON_2__relatedpersons_role_762T__NUNIQUE,-0.00024167205,0.00024167205,0.00013622990453047962
CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,0.00024115172,0.00024115172,0.00013593659586601326
missingindicator_CREDIT_BUREAU_A_2__collater_valueofguarantee_876L__MEAN,-0.00017639888,0.00017639888,9.943558877281643e-05
PERSON_2__addres_district_368M__NUNIQUE,-0.0001638813,0.0001638813,9.23794615609496e-05
OTHER_1__ROW_COUNT,-0.00012287455,0.00012287455,6.926406349317451e-05
CREDIT_BUREAU_B_1__dpd_550P__MAX,0.00012251461,0.00012251461,6.906116625356115e-05
CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MAX,-4.9313247e-05,4.9313247e-05,2.7797748771105142e-05
PERSON_2__addres_zip_823M__NUNIQUE,-3.138658e-05,3.138658e-05,1.7692533319174728e-05
missingindicator_CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,-2.3812623e-05,2.3812623e-05,1.3423113504065955e-05
